episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -4216.59178519249, 2, 14.185885939999935, 264, 25011,                                             25011, 13.384695053100586, 311.3109436035156
2, -6901.925823330879, 2, 41.346415108999736, 796, 25807,                                             25807, 13.794554710388184, 316.6714172363281
3, -3165.807859182358, 2, 11.53599246900012, 251, 26058,                                             26058, 14.23641586303711, 319.39398193359375
4, -3738.1255207061768, 2, 19.581373488999816, 346, 26404,                                             26404, 13.333545684814453, 315.9840087890625
5, -4023.312256217003, 3, 30.713262523999674, 600, 27004,                                             27004, 13.88842487335205, 316.5950622558594
6, -4972.944244027138, 4, 61.94810900699986, 1226, 28230,                                             28230, 13.220776557922363, 314.0655212402344
7, -2466.543105840683, 2, 7.151348147000135, 131, 28361,                                             28361, 13.196395874023438, 314.5091552734375
8, -140.16742712259293, 1, 36.54277773500007, 718, 29079,                                             29079, 13.156935691833496, 314.1898193359375
9, -2359.250677585602, 3, 2.5000469659999, 43, 29122,                                             29122, 12.615118980407715, 307.90142822265625
10, 969.4469593763351, 1, 18.588903590999962, 385, 29507,                                             29507, 13.078400611877441, 313.7330627441406
11, -4210.247249662876, 2, 18.67312533700033, 341, 29848,                                             29848, 12.868898391723633, 317.3724670410156
12, -2864.649848163128, 2, 15.382598233999943, 294, 30142,                                             30142, 13.417789459228516, 319.3419494628906
13, -10258.323548138142, 4, 60.696761826000056, 1246, 31388,                                             31388, 14.245195388793945, 325.7870178222656
14, 1913.7310681939125, 1, 17.97228779299985, 289, 31677,                                             31677, 13.964455604553223, 326.86077880859375
15, -5724.25838124752, 4, 62.461584335000225, 1234, 32911,                                             32911, 13.764236450195312, 321.89324951171875
16, -3318.2481437921524, 2, 23.825548604000232, 374, 33285,                                             33285, 13.428589820861816, 316.1849365234375
17, -6164.803806245327, 2, 53.130582380000305, 1020, 34305,                                             34305, 13.093579292297363, 314.8443603515625
18, -5147.635352730751, 2, 30.14125331700052, 502, 34807,                                             34807, 13.319445610046387, 315.9258728027344
19, -3385.0995104312897, 3, 14.95759578399975, 220, 35027,                                             35027, 12.794410705566406, 320.8511657714844
20, -3075.8342710733414, 2, 13.072846978000598, 185, 35212,                                             35212, 12.134295463562012, 316.8487548828125
21, -4184.244809687138, 2, 26.28426576000038, 456, 35668,                                             35668, 13.00192642211914, 316.9359436035156
22, -2730.8126697540283, 2, 7.3248419159999685, 130, 35798,                                             35798, 13.2128267288208, 316.2060546875
23, 2276.7224279642105, 1, 12.626764585999808, 199, 35997,                                             35997, 13.258399963378906, 318.40924072265625
24, -3454.909051179886, 2, 7.5602781480001795, 129, 36126,                                             36126, 13.6963529586792, 319.6193542480469
25, 831.5812323093414, 1, 31.216305493999243, 562, 36688,                                             36688, 13.514723777770996, 318.8542175292969
26, -4285.086458683014, 2, 33.67959104300007, 549, 37237,                                             37237, 13.254142761230469, 316.5187683105469
27, -5917.726217806339, 2, 34.82165736800016, 643, 37880,                                             37880, 13.030952453613281, 315.77783203125
28, -3130.1328770518303, 2, 20.32820091600024, 287, 38167,                                             38167, 13.036561965942383, 318.36883544921875
29, 1473.7158344984055, 1, 19.572809063000022, 341, 38508,                                             38508, 13.36707592010498, 317.4738464355469
30, -3232.0712470412254, 3, 12.861662072999934, 222, 38730,                                             38730, 13.111316680908203, 312.49957275390625
31, -4472.139934420586, 2, 38.60531454200009, 667, 39397,                                             39397, 12.94930362701416, 314.788330078125
32, -3494.5597203969955, 2, 24.83747979799955, 344, 39741,                                             39741, 12.680495262145996, 316.7813415527344
33, -6013.103089630604, 2, 31.337043305000407, 465, 40206,                                             40206, 12.905695915222168, 313.99346923828125
34, 1722.4187991023064, 1, 24.201313206000123, 334, 40540,                                             40540, 13.401460647583008, 317.4697265625
35, -6198.733591854572, 2, 38.19997040199996, 542, 41082,                                             41082, 13.340995788574219, 314.9028015136719
36, 1956.527448117733, 1, 18.01153659299962, 260, 41342,                                             41342, 13.137231826782227, 314.80609130859375
37, 1250.4154257178307, 1, 26.378289621000476, 437, 41779,                                             41779, 13.533302307128906, 316.9682922363281
38, -5104.076944112778, 2, 44.26232166999944, 787, 42566,                                             42566, 13.370430946350098, 316.4779357910156
39, -4493.794975876808, 3, 30.381631938000282, 544, 43110,                                             43110, 12.751688957214355, 313.3348083496094
40, 2085.384558558464, 1, 10.580283702999623, 198, 43308,                                             43308, 14.470117568969727, 316.5970153808594
41, -2677.3917379379272, 2, 4.663137688000461, 82, 43390,                                             43390, 13.18011474609375, 310.6239013671875
42, -538.0774155259132, 1, 35.84340839699962, 671, 44061,                                             44061, 13.30789852142334, 317.50958251953125
43, -5495.381328642368, 2, 49.26408816099956, 943, 45004,                                             45004, 13.595878601074219, 314.775634765625
44, -3135.417811512947, 2, 12.572871154000495, 238, 45242,                                             45242, 13.329419136047363, 315.1681213378906
45, -3099.423085331917, 2, 16.575436334999722, 320, 45562,                                             45562, 13.757110595703125, 315.2187194824219
