episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -9582.96084678173, 2, 9.373400357999913, 450, 25053,                                             25053, 0.0, 4295.0751953125
2, -5553.566222906113, 2, 11.372802369000055, 532, 25585,                                             25585, 0.0, 5233.001953125
3, -4670.367024421692, 2, 11.135437498999977, 523, 26108,                                             26108, 0.0, 5173.83447265625
4, -5758.168961286545, 2, 11.37370212199994, 552, 26660,                                             26660, 0.0, 5905.5859375
5, -7450.815495848656, 2, 11.991499807999958, 567, 27227,                                             27227, 0.0, 4468.916015625
6, -5502.193074822426, 2, 11.729245470000023, 558, 27785,                                             27785, 0.0, 4818.0732421875
7, -5131.146601676941, 2, 11.13432559599994, 542, 28327,                                             28327, 0.0, 4525.787109375
8, -4526.942987918854, 2, 11.134719636, 519, 28846,                                             28846, 0.0, 4181.44482421875
9, -6512.218094587326, 2, 12.175766852000038, 569, 29415,                                             29415, 0.0, 4805.0712890625
10, -6235.137901067734, 2, 11.763010753000003, 556, 29971,                                             29971, 0.0, 4833.45654296875
11, -9795.481543064117, 2, 11.113520683000047, 528, 30499,                                             30499, 0.0, 3976.4716796875
12, -5198.94451379776, 2, 11.135369809000053, 521, 31020,                                             31020, 0.0, 4374.08642578125
13, -8802.147660255432, 2, 13.337971663000076, 642, 31662,                                             31662, 0.0, 3947.837890625
14, -9029.859628200531, 2, 11.780401329000028, 544, 32206,                                             32206, 0.0, 3937.642822265625
15, -9374.513991594315, 2, 14.997298153999964, 709, 32915,                                             32915, 0.0, 4196.08447265625
16, -4705.5879600048065, 2, 6.916616393000027, 333, 33248,                                             33248, 0.0, 3857.150634765625
17, 2923.862227320671, 1, 8.159243737999986, 391, 33639,                                             33639, 0.0, 3152.337890625
18, -3669.186761856079, 2, 3.3479750390000618, 133, 33772,                                             33772, 0.0, 2726.311279296875
19, -5309.851551532745, 2, 11.342227503000004, 530, 34302,                                             34302, 0.0, 4839.77294921875
20, 3035.476303398609, 1, 4.316177194999909, 190, 34492,                                             34492, 0.0, 4388.2197265625
21, -22531.626171708107, 2, 51.01426775300001, 2448, 36940,                                             36940, 0.0, 3837.7900390625
22, 3108.489692956209, 1, 3.962804355000003, 210, 37150,                                             37150, 0.0, 3171.91552734375
23, -5858.744569778442, 2, 7.369231350999939, 338, 37488,                                             37488, 0.0, 5092.7578125
24, -4327.810446977615, 2, 10.975271819, 534, 38022,                                             38022, 0.0, 3814.871337890625
25, -4852.869578123093, 2, 10.987555467999982, 525, 38547,                                             38547, 0.0, 4573.73291015625
26, -5703.668870687485, 2, 10.732026724999969, 524, 39071,                                             39071, 0.0, 3369.534423828125
27, -4819.423635482788, 2, 10.97226324899998, 522, 39593,                                             39593, 0.0, 3858.900146484375
28, -5102.997697353363, 2, 11.135885443999996, 528, 40121,                                             40121, 0.0, 3814.82177734375
29, -6087.2608478069305, 2, 11.229416592000007, 549, 40670,                                             40670, 0.0, 4442.02587890625
30, -4451.233385205269, 2, 11.18089653700008, 525, 41195,                                             41195, 0.0, 3773.76806640625
31, -13031.000720143318, 2, 24.180527053000105, 1163, 42358,                                             42358, 0.0, 3786.54052734375
32, -6150.322258234024, 2, 11.783318167000061, 537, 42895,                                             42895, 0.0, 2875.246826171875
33, -7660.650587320328, 2, 12.53179470300006, 590, 43485,                                             43485, 0.0, 3135.623779296875
34, -6134.06974196434, 2, 11.733802589000106, 565, 44050,                                             44050, 0.0, 3541.324951171875
35, -5347.5961129665375, 2, 11.334316173999923, 545, 44595,                                             44595, 0.0, 3132.58935546875
36, -4625.582110285759, 2, 11.170228943999973, 529, 45124,                                             45124, 0.0, 2712.85595703125
37, -5648.139415740967, 2, 11.574822240999993, 533, 45657,                                             45657, 0.0, 2985.68603515625
38, -5970.536411046982, 2, 11.189919142000008, 542, 46199,                                             46199, 0.0, 2706.385498046875
39, -6814.656613469124, 2, 11.933664650000082, 572, 46771,                                             46771, 0.0, 2731.931396484375
40, -10164.005965709686, 2, 22.425689549000026, 1056, 47827,                                             47827, 0.0, 2958.31005859375
41, -5298.449758052826, 2, 11.654141337000056, 525, 48352,                                             48352, 0.0, 2752.499755859375
42, -4911.367227315903, 2, 11.623526188000142, 533, 48885,                                             48885, 0.0, 2928.923828125
43, -7487.554477453232, 2, 11.98465857799988, 586, 49471,                                             49471, 0.0, 2460.5634765625
44, -5192.561999320984, 2, 10.93095374099994, 517, 49988,                                             49988, 0.0, 2543.13037109375
45, -7419.910821676254, 2, 12.138334000999976, 556, 50544,                                             50544, 0.0, 2842.7666015625
