episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -7514.017787694931, 2, 10.368616943998859, 655, 25421,                                             25421, 0.0, 3315.166015625
2, -6970.845224380493, 2, 15.114782750999439, 947, 26368,                                             26368, 0.0, 3751.59814453125
3, -4171.7492200136185, 3, 10.128132828000162, 606, 26974,                                             26974, 0.0, 3708.2529296875
4, -4985.449721097946, 2, 10.128905842999302, 612, 27586,                                             27586, 0.0, 3592.985595703125
5, -4858.936870336533, 2, 12.53348006899978, 752, 28338,                                             28338, 0.0, 3730.7314453125
6, -5365.046907186508, 2, 11.35192803300015, 690, 29028,                                             29028, 0.0, 3619.10107421875
7, -6725.125837922096, 2, 12.132581640000353, 732, 29760,                                             29760, 0.0, 3669.591552734375
8, 1962.3475680351257, 1, 4.9375598580008955, 292, 30052,                                             30052, 0.0, 3201.283203125
9, -3937.158203959465, 3, 6.515293373999157, 382, 30434,                                             30434, 0.0, 3700.574951171875
10, -6365.075424194336, 2, 14.15509171300073, 871, 31305,                                             31305, 0.0, 3339.48876953125
11, -3471.412249684334, 2, 5.026330209999287, 306, 31611,                                             31611, 0.0, 3800.044189453125
12, -7168.322806596756, 2, 15.942484819999663, 979, 32590,                                             32590, 0.0, 3511.778076171875
13, -4408.780454874039, 2, 6.742419922999034, 417, 33007,                                             33007, 0.0, 3403.210693359375
14, -4020.165761113167, 3, 9.149220342000262, 555, 33562,                                             33562, 0.0, 3248.320556640625
15, -4428.776504278183, 2, 5.916384454998479, 353, 33915,                                             33915, 0.0, 3240.91455078125
16, -7434.544964313507, 2, 11.548636523999448, 704, 34619,                                             34619, 0.0, 3152.133544921875
17, -7908.823608636856, 2, 18.746107680999557, 1153, 35772,                                             35772, 0.0, 3283.02001953125
18, -11629.244918465614, 2, 32.40538687300068, 2015, 37787,                                             37787, 0.0, 3513.404296875
19, -6452.461980581284, 2, 13.533597599000132, 829, 38616,                                             38616, 0.0, 2947.5625
20, -8392.616297006607, 2, 13.944047627001055, 848, 39464,                                             39464, 0.0, 3196.459228515625
21, -5717.892129898071, 2, 12.479591758001334, 722, 40186,                                             40186, 0.0, 3214.168212890625
22, -5402.331845164299, 2, 12.361691226000403, 738, 40924,                                             40924, 0.0, 3342.221923828125
