episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -7419.463024377823, 2, 11.555589966999833, 731, 25108,                                             25108, 0.0, 2842.6328125
2, -4815.036586999893, 2, 7.740902753999762, 478, 25586,                                             25586, 0.0, 3453.51806640625
3, -4147.324439167976, 2, 10.544766957999855, 645, 26231,                                             26231, 0.0, 2544.919921875
4, -3371.0816650390625, 2, 4.736307354999553, 288, 26519,                                             26519, 0.0, 2572.976806640625
5, -4502.532772779465, 2, 10.555568839999978, 634, 27153,                                             27153, 0.0, 2547.731689453125
6, -4119.240789175034, 2, 5.540140670000255, 328, 27481,                                             27481, 0.0, 2977.647705078125
7, -4000.0534794330597, 2, 6.718475872000454, 400, 27881,                                             27881, 0.0, 2936.96435546875
8, -8629.260033369064, 2, 13.369580203000623, 791, 28672,                                             28672, 0.0, 3082.111572265625
9, -3485.8466579914093, 2, 6.718574798999725, 370, 29042,                                             29042, 0.0, 3001.031005859375
10, -9333.08595609665, 2, 10.355607669000165, 592, 29634,                                             29634, 0.0, 2810.965087890625
11, -6912.422448158264, 2, 13.513740454999606, 820, 30454,                                             30454, 0.0, 2828.613525390625
12, -7153.191012620926, 2, 14.364476179000121, 886, 31340,                                             31340, 0.0, 2685.658935546875
13, -5966.958171129227, 2, 11.728422998000497, 708, 32048,                                             32048, 0.0, 2828.33837890625
14, -5682.934524536133, 2, 7.740140525000243, 483, 32531,                                             32531, 0.0, 2990.89794921875
15, -4613.72810781002, 2, 11.750280741000097, 710, 33241,                                             33241, 0.0, 2833.43115234375
16, -5915.653963088989, 2, 12.332452877999458, 755, 33996,                                             33996, 0.0, 2542.428466796875
17, -4038.879250526428, 2, 5.7434452110001075, 353, 34349,                                             34349, 0.0, 2472.968994140625
18, -3852.9970712661743, 2, 5.136923189000299, 308, 34657,                                             34657, 0.0, 2691.4521484375
19, 2097.6707416176796, 1, 4.5091592890003085, 262, 34919,                                             34919, 0.0, 2008.26171875
20, -5160.539754390717, 2, 7.924168707999343, 477, 35396,                                             35396, 0.0, 2490.831787109375
21, -4521.874202609062, 2, 10.940086288999737, 660, 36056,                                             36056, 0.0, 2540.42041015625
22, -5880.738315582275, 2, 11.962047746999815, 696, 36752,                                             36752, 0.0, 2330.567626953125
23, -6921.270667314529, 2, 13.165741799999523, 781, 37533,                                             37533, 0.0, 2548.824951171875
24, -5260.3525059223175, 2, 6.519798665999588, 377, 37910,                                             37910, 0.0, 2667.699951171875
25, -6438.949329614639, 2, 12.555069858000024, 772, 38682,                                             38682, 0.0, 2474.733642578125
26, -3831.4967427253723, 2, 7.318743416999496, 430, 39112,                                             39112, 0.0, 2104.762939453125
27, -7298.459545850754, 2, 14.535231089000263, 892, 40004,                                             40004, 0.0, 2103.48046875
28, -4046.119944691658, 2, 5.534783123000125, 333, 40337,                                             40337, 0.0, 1592.1029052734375
29, -5994.66759967804, 2, 12.534230418000334, 758, 41095,                                             41095, 0.0, 2142.478271484375
30, -3893.1915662288666, 3, 8.543903802000386, 526, 41621,                                             41621, 0.0, 1930.0506591796875
31, -7095.300215959549, 3, 9.096998365000218, 531, 42152,                                             42152, 0.0, 2354.681396484375
32, -5615.681865930557, 2, 9.539052434000041, 580, 42732,                                             42732, 0.0, 2206.43115234375
33, -3883.4572336673737, 2, 6.942828013000508, 423, 43155,                                             43155, 0.0, 1802.198486328125
34, -4633.122732877731, 2, 7.343997952999416, 418, 43573,                                             43573, 0.0, 2250.1142578125
35, -4551.534662485123, 2, 7.316754688999936, 438, 44011,                                             44011, 0.0, 2177.136962890625
36, -5959.167646765709, 3, 10.130332820999683, 601, 44612,                                             44612, 0.0, 2094.335693359375
37, -13427.128194332123, 2, 16.371490072000597, 973, 45585,                                             45585, 0.0, 2046.36572265625
38, -5891.78172814846, 2, 11.527251258000433, 700, 46285,                                             46285, 0.0, 1880.3687744140625
39, -5700.034865736961, 2, 11.154119648999767, 693, 46978,                                             46978, 0.0, 2247.83544921875
40, -6977.0089366436005, 2, 11.346522138999717, 700, 47678,                                             47678, 0.0, 2022.9609375
