episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -14341.32828426361, 2, 18.547223322006175, 1163, 25142,                                             25142, 0.0, 3697.1083984375
2, -6294.61781167984, 2, 9.13790206599515, 579, 25721,                                             25721, 0.0, 4435.3876953125
3, -3198.9439890384674, 2, 6.337976708004135, 394, 26115,                                             26115, 0.0, 3914.587158203125
4, 2238.5589385032654, 1, 4.137129526003264, 232, 26347,                                             26347, 0.0, 2953.531494140625
5, -4595.337887048721, 2, 4.535324060998391, 270, 26617,                                             26617, 0.0, 3891.040771484375
6, -7024.273137807846, 2, 11.155347549996804, 663, 27280,                                             27280, 0.0, 3872.30908203125
7, -5219.233106136322, 2, 7.723618791002082, 456, 27736,                                             27736, 0.0, 3831.17236328125
8, -6997.54710149765, 2, 12.736653874002513, 773, 28509,                                             28509, 0.0, 3676.906494140625
9, -4242.194707155228, 2, 7.1386720839946065, 445, 28954,                                             28954, 0.0, 3729.768798828125
10, -8516.94679903984, 2, 17.748216452993802, 1085, 30039,                                             30039, 0.0, 3751.848876953125
11, -4371.476911306381, 2, 8.733681016004994, 526, 30565,                                             30565, 0.0, 3837.845458984375
12, -4411.273337602615, 2, 5.949437187999138, 357, 30922,                                             30922, 0.0, 3630.31640625
13, -5100.875904560089, 2, 11.72849721100647, 710, 31632,                                             31632, 0.0, 4340.326171875
14, -7163.007555007935, 2, 9.956510625997907, 607, 32239,                                             32239, 0.0, 4156.8037109375
15, -3990.2995022535324, 2, 7.118372488999739, 417, 32656,                                             32656, 0.0, 3219.34521484375
16, -5791.890129566193, 2, 10.955535023997072, 671, 33327,                                             33327, 0.0, 3887.956787109375
17, -4066.6687252521515, 2, 7.115129739002441, 418, 33745,                                             33745, 0.0, 3869.218505859375
18, -5834.448109507561, 2, 10.349928883995744, 632, 34377,                                             34377, 0.0, 4184.61865234375
19, -4593.374195814133, 2, 5.543521635001525, 338, 34715,                                             34715, 0.0, 4180.62451171875
20, -6495.506620168686, 2, 8.721612687993911, 518, 35233,                                             35233, 0.0, 3692.32470703125
21, 2220.270685017109, 1, 3.9285014449997107, 238, 35471,                                             35471, 0.0, 4123.13232421875
22, -5477.125912904739, 2, 5.714953990012873, 333, 35804,                                             35804, 0.0, 4892.85595703125
23, -3925.314653158188, 2, 6.539606396996533, 399, 36203,                                             36203, 0.0, 4835.11767578125
24, -5190.884832382202, 2, 11.752929599009803, 683, 36886,                                             36886, 0.0, 4822.56494140625
25, -7262.794297039509, 2, 12.531273382002837, 767, 37653,                                             37653, 0.0, 4201.53125
26, -6642.943865537643, 2, 15.765111340995645, 977, 38630,                                             38630, 0.0, 4038.0966796875
27, 2215.069742023945, 1, 3.936107436005841, 231, 38861,                                             38861, 0.0, 4150.89111328125
28, -4062.792751431465, 2, 5.317768982000416, 309, 39170,                                             39170, 0.0, 4374.3173828125
29, 2191.8440254330635, 1, 4.335117975992034, 236, 39406,                                             39406, 0.0, 5488.794921875
30, -5423.269906044006, 2, 4.935510612005601, 301, 39707,                                             39707, 0.0, 4083.6171875
31, -5607.823944807053, 2, 8.921393127995543, 522, 40229,                                             40229, 0.0, 4183.82666015625
32, -5762.607503771782, 2, 9.955005547992187, 612, 40841,                                             40841, 0.0, 4622.68310546875
33, -6096.714643001556, 2, 8.723283840998192, 533, 41374,                                             41374, 0.0, 4357.31884765625
34, -5285.20891559124, 2, 8.926384346006671, 542, 41916,                                             41916, 0.0, 4109.9091796875
35, -7276.800982713699, 2, 12.153456688000006, 752, 42668,                                             42668, 0.0, 3401.86572265625
36, -4828.255425691605, 2, 10.725871579998056, 638, 43306,                                             43306, 0.0, 3988.798095703125
37, -4653.856160163879, 2, 6.949826188007137, 399, 43705,                                             43705, 0.0, 3895.825927734375
38, 2253.887804836035, 1, 3.92597502899298, 237, 43942,                                             43942, 0.0, 3819.10498046875
39, -5190.538379669189, 2, 8.122203498001909, 477, 44419,                                             44419, 0.0, 4130.1015625
40, -10077.781395673752, 2, 11.158366433999618, 692, 45111,                                             45111, 0.0, 4126.814453125
41, -9779.62796664238, 2, 13.12784213401028, 777, 45888,                                             45888, 0.0, 4350.154296875
42, -6433.839054107666, 2, 11.750114103997475, 703, 46591,                                             46591, 0.0, 4729.7255859375
43, -5348.274856328964, 2, 11.329694101994392, 687, 47278,                                             47278, 0.0, 4534.6669921875
44, 1521.3544926643372, 1, 7.749406885006465, 478, 47756,                                             47756, 0.0, 4146.01953125
45, -7802.2393918037415, 2, 12.7414133400016, 775, 48531,                                             48531, 0.0, 5210.13623046875
46, -3942.434716939926, 2, 5.141941465990385, 307, 48838,                                             48838, 0.0, 4416.9365234375
47, -9823.925787568092, 2, 19.553225007999572, 1183, 50021,                                             50021, 0.0, 4865.36962890625
48, -6646.453484535217, 2, 11.736533331000828, 713, 50734,                                             50734, 0.0, 4879.86279296875
49, -6881.151859521866, 2, 14.563204701000359, 885, 51619,                                             51619, 0.0, 4311.9169921875
50, -5327.22328209877, 2, 11.129329539995524, 678, 52297,                                             52297, 0.0, 3805.335205078125
51, -5784.860062599182, 2, 11.74057345998881, 701, 52998,                                             52998, 0.0, 4797.76904296875
52, -5669.917852163315, 2, 10.955399206010043, 665, 53663,                                             53663, 0.0, 4166.59814453125
53, -5268.533625006676, 2, 11.355128610011889, 693, 54356,                                             54356, 0.0, 5219.45703125
54, -4791.573686122894, 2, 5.714365562002058, 332, 54688,                                             54688, 0.0, 4297.2509765625
55, -6673.244133234024, 2, 11.936672305993852, 714, 55402,                                             55402, 0.0, 5659.353515625
56, -4689.527138710022, 2, 7.325229890993796, 428, 55830,                                             55830, 0.0, 6794.78564453125
57, -5299.656447291374, 2, 12.355805649000104, 752, 56582,                                             56582, 0.0, 6176.125
58, -8083.667984724045, 2, 19.153979039008846, 1160, 57742,                                             57742, 0.0, 4863.4892578125
59, -7633.9847667217255, 2, 12.537187324007391, 747, 58489,                                             58489, 0.0, 6151.87939453125
60, -7547.837267875671, 2, 13.956511031996342, 849, 59338,                                             59338, 0.0, 8739.435546875
61, -8553.535557985306, 2, 12.13245583299431, 743, 60081,                                             60081, 0.0, 7215.42919921875
62, -9628.788429021835, 2, 21.35281425100402, 1284, 61365,                                             61365, 0.0, 7088.71875
63, -4914.285606384277, 2, 7.724317112995777, 427, 61792,                                             61792, 0.0, 6052.31298828125
64, -4395.130514621735, 2, 6.539480820996687, 394, 62186,                                             62186, 0.0, 5195.41259765625
65, -6270.441616535187, 2, 12.56604274098936, 749, 62935,                                             62935, 0.0, 7137.65966796875
66, -4639.222612857819, 2, 5.91583263699431, 351, 63286,                                             63286, 0.0, 6652.3046875
67, 1442.102232903242, 1, 8.159497246000683, 479, 63765,                                             63765, 0.0, 6875.23779296875
68, -5370.87420463562, 2, 4.913044909990276, 282, 64047,                                             64047, 0.0, 6325.7900390625
69, -5826.504049539566, 2, 11.735604205008713, 688, 64735,                                             64735, 0.0, 7458.849609375
70, 1845.8660107851028, 1, 7.953237973997602, 474, 65209,                                             65209, 0.0, 7109.54150390625
71, -4565.722781658173, 2, 4.6989084189990535, 272, 65481,                                             65481, 0.0, 5056.08984375
72, -5021.525399923325, 2, 7.548193487004028, 461, 65942,                                             65942, 0.0, 4555.02587890625
73, -9855.171992063522, 2, 10.746999429000425, 644, 66586,                                             66586, 0.0, 9577.1220703125
74, -4283.639018297195, 2, 5.7145382369926665, 330, 66916,                                             66916, 0.0, 6155.41796875
75, -5949.034471988678, 2, 10.13355378000415, 606, 67522,                                             67522, 0.0, 7854.11572265625
76, -5780.8437666893005, 2, 11.335008716006996, 692, 68214,                                             68214, 0.0, 7952.73681640625
77, -4685.900158405304, 2, 7.119656848997693, 422, 68636,                                             68636, 0.0, 4493.73291015625
78, -6554.858334541321, 3, 9.346878826996544, 567, 69203,                                             69203, 0.0, 5268.400390625
79, -5011.970534086227, 2, 11.5283911430015, 679, 69882,                                             69882, 0.0, 7636.76220703125
80, -6163.448938369751, 2, 12.334019285990507, 743, 70625,                                             70625, 0.0, 5146.01708984375
81, -7414.698361158371, 2, 15.768853443994885, 943, 71568,                                             71568, 0.0, 6167.84033203125
82, -5805.499648332596, 2, 12.15711928899691, 733, 72301,                                             72301, 0.0, 4780.0810546875
83, -5608.497433066368, 2, 13.935475629987195, 821, 73122,                                             73122, 0.0, 7146.0556640625
84, -10612.133729457855, 2, 20.383419310004683, 1248, 74370,                                             74370, 0.0, 6275.97509765625
85, -4670.607833862305, 2, 7.115009648012347, 425, 74795,                                             74795, 0.0, 6130.82568359375
86, -10820.004117012024, 2, 14.759232416996383, 899, 75694,                                             75694, 0.0, 5561.33935546875
87, 1895.1531378030777, 1, 4.538032389988075, 263, 75957,                                             75957, 0.0, 4382.3056640625
88, -6969.330189466476, 2, 7.720455307993689, 460, 76417,                                             76417, 0.0, 3884.494384765625
89, -5571.570915162563, 2, 14.15833516800194, 865, 77282,                                             77282, 0.0, 7738.4716796875
90, -6545.041333436966, 2, 12.764116480000666, 757, 78039,                                             78039, 0.0, 6204.541015625
91, 2042.5435537099838, 1, 4.080921077998937, 239, 78278,                                             78278, 0.0, 4673.259765625
92, -3305.57758808136, 2, 2.706519893996301, 151, 78429,                                             78429, 0.0, 5532.865234375
93, -9436.632987976074, 2, 27.782644514998537, 1686, 80115,                                             80115, 0.0, 9724.2060546875
94, -4895.4547290802, 3, 9.325199112005066, 553, 80668,                                             80668, 0.0, 10437.0791015625
95, -6144.263369321823, 2, 11.164687762997346, 682, 81350,                                             81350, 0.0, 10302.3681640625
96, 2219.4751699864864, 1, 4.33994335999887, 235, 81585,                                             81585, 0.0, 4089.775146484375
97, -5505.505734443665, 2, 7.918909846994211, 477, 82062,                                             82062, 0.0, 10450.6484375
98, -10076.898743510246, 2, 28.192121168001904, 1699, 83761,                                             83761, 0.0, 8958.05859375
99, -6361.867090821266, 2, 15.537356660992373, 921, 84682,                                             84682, 0.0, 5551.36279296875
100, -5792.643168926239, 2, 10.95558032700501, 657, 85339,                                             85339, 0.0, 8488.384765625
101, -10679.250609219074, 2, 22.29331848199945, 1357, 86696,                                             86696, 0.0, 5965.11328125
102, -4198.8204600811005, 2, 5.3350011209986405, 313, 87009,                                             87009, 0.0, 5234.5751953125
103, -9093.785652637482, 2, 13.135327087991755, 778, 87787,                                             87787, 0.0, 5723.16015625
104, -4905.616000413895, 2, 5.918840155005455, 342, 88129,                                             88129, 0.0, 9268.09375
105, -4394.983546733856, 2, 5.519304441011627, 310, 88439,                                             88439, 0.0, 7002.58642578125
106, -3843.229628801346, 2, 6.93689824899775, 422, 88861,                                             88861, 0.0, 6415.47265625
107, -5999.3738787174225, 2, 10.961350116995163, 655, 89516,                                             89516, 0.0, 5182.01904296875
108, -6393.274812221527, 2, 14.136654022004222, 866, 90382,                                             90382, 0.0, 8246.39453125
109, -9685.999640345573, 2, 23.36680841499765, 1413, 91795,                                             91795, 0.0, 7604.75732421875
110, -5185.337934017181, 2, 9.348284228995908, 558, 92353,                                             92353, 0.0, 9218.4326171875
111, -6041.911165833473, 2, 12.701732150002499, 751, 93104,                                             93104, 0.0, 5744.81884765625
112, -6106.86446750164, 2, 18.1699694100098, 1091, 94195,                                             94195, 0.0, 5923.97607421875
113, -4501.189797759056, 2, 10.95365781300643, 676, 94871,                                             94871, 0.0, 5274.77978515625
114, -11246.97292792797, 2, 36.426512897989596, 2212, 97083,                                             97083, 0.0, 5651.939453125
115, -6094.087505102158, 2, 11.333307134002098, 662, 97745,                                             97745, 0.0, 6229.8193359375
116, -5648.045739889145, 2, 11.356884969005478, 680, 98425,                                             98425, 0.0, 5563.34619140625
117, 1968.9364000558853, 1, 4.736992320002173, 279, 98704,                                             98704, 0.0, 5034.880859375
118, -3190.7908866405487, 2, 2.1054465519991936, 111, 98815,                                             98815, 0.0, 4935.6025390625
119, -11571.649348020554, 2, 21.379428239000845, 1298, 100113,                                             100113, 0.0, 5339.34375
120, -3238.3019802570343, 2, 6.743191764995572, 379, 100492,                                             100492, 0.0, 9386.2431640625
121, -5764.913863420486, 2, 11.699107929001912, 702, 101194,                                             101194, 0.0, 4275.96240234375
122, -4168.599077939987, 2, 7.122743447995163, 420, 101614,                                             101614, 0.0, 7329.68310546875
123, -5665.916266441345, 2, 11.754880552005488, 701, 102315,                                             102315, 0.0, 7400.99365234375
124, -10293.766796708107, 2, 28.178005094989203, 1682, 103997,                                             103997, 0.0, 5405.50048828125
125, -1104.7082750797272, 1, 18.3780472859944, 1111, 105108,                                             105108, 0.0, 4739.02001953125
126, -5035.001594781876, 2, 8.320305346991518, 488, 105596,                                             105596, 0.0, 5490.83349609375
127, -3971.8305189609528, 2, 5.342095982006867, 322, 105918,                                             105918, 0.0, 5667.529296875
128, -7839.5951228141785, 2, 12.536416518996703, 739, 106657,                                             106657, 0.0, 4404.64404296875
129, -10797.903155088425, 2, 25.76910214300733, 1526, 108183,                                             108183, 0.0, 6066.5283203125
130, -5770.032097220421, 2, 16.774003801998333, 999, 109182,                                             109182, 0.0, 4643.74267578125
131, 2129.8210171461105, 1, 3.8927695660095196, 226, 109408,                                             109408, 0.0, 8763.3525390625
132, -8329.295719861984, 2, 19.750733423003112, 1153, 110561,                                             110561, 0.0, 3888.963623046875
133, -4086.8528147935867, 2, 7.547300625999924, 447, 111008,                                             111008, 0.0, 6032.2041015625
134, 2215.7703416645527, 1, 3.938002435999806, 228, 111236,                                             111236, 0.0, 4221.4453125
135, -4381.726367235184, 2, 8.522963266004808, 494, 111730,                                             111730, 0.0, 4658.82177734375
136, -12515.16109752655, 2, 31.204290642010164, 1879, 113609,                                             113609, 0.0, 4622.02490234375
137, -4400.237777233124, 2, 6.747361873000045, 403, 114012,                                             114012, 0.0, 3877.6591796875
138, -12080.489466190338, 2, 18.347585110997898, 1080, 115092,                                             115092, 0.0, 4491.0224609375
139, -8131.313951015472, 2, 11.752294079997228, 696, 115788,                                             115788, 0.0, 2950.871826171875
140, -6851.863665342331, 2, 13.1364035380102, 765, 116553,                                             116553, 0.0, 3605.869384765625
141, -17221.828773856163, 2, 36.988102157003595, 2203, 118756,                                             118756, 0.0, 4511.24365234375
142, -1801.9654125869274, 1, 15.53814777599473, 920, 119676,                                             119676, 0.0, 3641.57421875
143, -13123.448226690292, 2, 28.377534236991778, 1666, 121342,                                             121342, 0.0, 4071.045654296875
144, -13342.953978061676, 3, 41.24042295500112, 2447, 123789,                                             123789, 0.0, 3912.0322265625
145, -6437.357370018959, 2, 16.96852386399405, 1008, 124797,                                             124797, 0.0, 3036.88720703125
146, -4676.706427097321, 3, 9.727473218008527, 566, 125363,                                             125363, 0.0, 4418.0
147, -4012.6012229919434, 2, 5.347015164006734, 315, 125678,                                             125678, 0.0, 2272.721435546875
148, -5702.430163145065, 2, 6.14277135800512, 359, 126037,                                             126037, 0.0, 3973.00732421875
149, -4305.319793701172, 2, 6.748519774992019, 405, 126442,                                             126442, 0.0, 3177.655029296875
150, -6537.396358013153, 2, 12.15303834300721, 708, 127150,                                             127150, 0.0, 3449.41796875
151, -6821.152114391327, 2, 13.30623996599752, 776, 127926,                                             127926, 0.0, 4020.95556640625
152, -18557.87475568056, 3, 37.59825847799948, 2216, 130142,                                             130142, 0.0, 3379.697021484375
153, -4631.90962600708, 2, 6.938466552004684, 400, 130542,                                             130542, 0.0, 2645.984375
154, -12478.479974627495, 2, 28.205003662005765, 1649, 132191,                                             132191, 0.0, 3156.3095703125
155, -6450.029192209244, 2, 13.17176815100538, 791, 132982,                                             132982, 0.0, 2671.50341796875
156, -5325.032052993774, 3, 9.723397869005566, 561, 133543,                                             133543, 0.0, 3183.073486328125
157, -8407.547518014908, 2, 18.94884550300776, 1115, 134658,                                             134658, 0.0, 3269.375732421875
158, -9235.29717540741, 2, 19.583083684992744, 1164, 135822,                                             135822, 0.0, 2963.630126953125
159, -4649.475386619568, 3, 9.327144989001681, 534, 136356,                                             136356, 0.0, 3766.981201171875
160, -4768.724769830704, 2, 11.959627040996565, 698, 137054,                                             137054, 0.0, 2674.134765625
161, -4258.008035898209, 2, 10.865578373006429, 629, 137683,                                             137683, 0.0, 2574.0634765625
162, -6712.4607629776, 2, 12.355484533007257, 727, 138410,                                             138410, 0.0, 2347.944091796875
163, -4495.901420354843, 2, 5.944305331009673, 327, 138737,                                             138737, 0.0, 2864.9306640625
164, -4663.921123981476, 2, 6.516923329996644, 378, 139115,                                             139115, 0.0, 2947.293212890625
165, -4949.263697862625, 2, 11.354563686007168, 657, 139772,                                             139772, 0.0, 2552.64306640625
166, -19427.173779010773, 2, 49.650296912004706, 2975, 142747,                                             142747, 0.0, 2741.891357421875
167, -12102.132293581963, 2, 29.004750926003908, 1724, 144471,                                             144471, 0.0, 2309.414306640625
168, -4401.022820234299, 2, 6.921219354000641, 394, 144865,                                             144865, 0.0, 2049.5537109375
169, -6099.833303451538, 2, 12.740112640996813, 740, 145605,                                             145605, 0.0, 2264.559326171875
170, -6945.971140384674, 2, 11.954166741998051, 703, 146308,                                             146308, 0.0, 2281.301513671875
171, -11646.605053305626, 2, 21.32945545599796, 1273, 147581,                                             147581, 0.0, 2439.11962890625
172, -3505.0029748678207, 2, 6.743964098001015, 397, 147978,                                             147978, 0.0, 2794.48583984375
173, -8972.315132141113, 2, 19.381353826000122, 1164, 149142,                                             149142, 0.0, 2419.91162109375
174, -3652.1261570453644, 2, 6.721217268001055, 388, 149530,                                             149530, 0.0, 1903.8603515625
175, -3396.316222310066, 2, 5.518272626999533, 321, 149851,                                             149851, 0.0, 2269.530517578125
176, -5466.361781597137, 2, 11.329721230998985, 664, 150515,                                             150515, 0.0, 2143.3115234375
177, -2177.796550512314, 1, 15.746397112001432, 927, 151442,                                             151442, 0.0, 2105.201416015625
